Found transactions: 20
ID: cmit9rujn000y8qa47nu2kvht | Date: 2025-12-05 | Amount: 50 | Desc:  | Category: 'cmirmmhha0003365c8q2e179h' | Envelope: Mieszkanie
ID: cmiu17iqm000110rj0bp89ftm | Date: 2025-12-06 | Amount: 6000 | Desc: Wypłata | Category: 'null' | Envelope: undefined
ID: cmiu17x6h000310rj235s96zd | Date: 2025-12-06 | Amount: 150 | Desc: Inny przychód | Category: 'null' | Envelope: undefined
ID: cmiu189th000510rjljjn60o8 | Date: 2025-12-06 | Amount: 200 | Desc:  | Category: 'cmirmmi1c000b365cflyynt84' | Envelope: Transport
ID: cmiu1b61b000c10rj5zzhuxng | Date: 2025-12-06 | Amount: 1000 | Desc: Premia | Category: 'null' | Envelope: undefined
ID: cmiu1b61h000e10rjerifdwfa | Date: 2025-12-06 | Amount: 200 | Desc: Premia → Wolne środki (roczne) | Category: 'null' | Envelope: Wolne środki (roczne)
ID: cmiu1b61t000g10rjxawx5tgm | Date: 2025-12-06 | Amount: 400 | Desc: Premia → Auto: Serwis i Ubezpieczenie | Category: 'null' | Envelope: Auto: Serwis i Ubezpieczenie
ID: cmiu1b61y000i10rj2bm1zoi1 | Date: 2025-12-06 | Amount: 400 | Desc: Premia → Prezenty i Okazje | Category: 'null' | Envelope: Prezenty i Okazje
ID: cmiu1bgt0000l10rjqegqznqf | Date: 2025-12-06 | Amount: 500 | Desc: mieszkanie | Category: 'cmirmmh0x0001365ccdx6nbbf' | Envelope: Mieszkanie
ID: cmivt63nn000110gfhmuo9umj | Date: 2025-12-07 | Amount: 20 | Desc: test | Category: '447ad1b9-7550-45ca-9cf3-26722bdf9614' | Envelope: Rachunki i Subskrypcje
ID: cmivtfga8000310gf5nbuclkt | Date: 2025-12-07 | Amount: 222 | Desc:  | Category: 'cmirmmk1m000z365cm68uw8z1' | Envelope: Gastronomia
ID: cmivu2cv1000510gf7ssakds6 | Date: 2025-12-07 | Amount: 20 | Desc: leki | Category: 'cmirmmij4000h365c3bssmy00' | Envelope: Zdrowie i Higiena
ID: cmivvk692001a10gfr7qqsset | Date: 2025-12-07 | Amount: 5000 | Desc: Wypłata | Category: 'null' | Envelope: undefined
ID: cmivvkd21001d10gfymli6gs0 | Date: 2025-12-07 | Amount: 1000 | Desc: Premia | Category: 'null' | Envelope: undefined
ID: cmivvkd2t001f10gfc7z2425e | Date: 2025-12-07 | Amount: 400 | Desc: Premia → Prezenty i Okazje | Category: 'null' | Envelope: Prezenty i Okazje
ID: cmivvkd3b001h10gfyve4s33t | Date: 2025-12-07 | Amount: 400 | Desc: Premia → Auto: Serwis i Ubezpieczenie | Category: 'null' | Envelope: Auto: Serwis i Ubezpieczenie
ID: cmivvkd3f001j10gflr52ky81 | Date: 2025-12-07 | Amount: 200 | Desc: Premia → Wolne środki (roczne) | Category: 'null' | Envelope: Wolne środki (roczne)
ID: cmivvn3zc001m10gfzoypmc4a | Date: 2025-12-07 | Amount: 1000 | Desc: Wesele | Category: 'null' | Envelope: Wesele
ID: cmivvn7io001p10gfxbgfhrtf | Date: 2025-12-07 | Amount: 35 | Desc: Teledon | Category: 'phone' | Envelope: Rachunki i Subskrypcje
ID: cmivwa5oi001u10gf0jtv6pr1 | Date: 2025-12-07 | Amount: 600 | Desc: IKE  | Category: 'ike' | Envelope: Budowanie Przyszłości
